"{FMU2}.FMU2Instance.fk","{FMU}.FMUInstance.x1","{FMU}.FMUInstance.v1"
21.7033,1,-5.09698
21.8849,1,-5.0695
22.0649,1,-5.04187
22.2434,1,-5.01408
22.4203,1,-4.98613
22.5957,1,-4.95803
22.7695,1,-4.92978
22.9417,1,-4.90138
23.1123,1,-4.87283
23.2814,1,-4.84413
23.4489,1,-4.81528
23.6147,1,-4.7863
23.779,1,-4.75717
23.9417,1,-4.7279
24.1027,1,-4.69849
24.2622,1,-4.66895
24.42,1,-4.63927
24.5761,1,-4.60946
24.7307,1,-4.57952
24.8836,1,-4.54945
25.0349,1,-4.51925
25.1845,1,-4.48892
25.3325,1,-4.45847
25.4788,1,-4.4279
25.6234,1,-4.39721
25.7664,1,-4.36641
25.9077,1,-4.33548
26.0474,1,-4.30444
26.1853,1,-4.27329
26.3216,1,-4.24202
26.4562,1,-4.21065
26.5891,1,-4.17917
26.7203,1,-4.14758
26.8499,1,-4.11589
26.9777,1,-4.0841
27.1038,1,-4.05221
27.2282,1,-4.02022
27.3509,1,-3.98813
27.4719,1,-3.95595
27.5912,1,-3.92367
27.7087,1,-3.89131
27.8246,1,-3.85885
27.9387,1,-3.82631
28.0511,1,-3.79368
28.1617,1,-3.76097
28.2706,1,-3.72818
28.3778,1,-3.69531
28.4833,1,-3.66236
28.587,1,-3.62933
28.689,1,-3.59623
28.7892,1,-3.56305
28.8877,1,-3.52981
28.9845,1,-3.4965
29.0795,1,-3.46312
29.1727,1,-3.42967
29.2643,1,-3.39616
29.354,1,-3.36259
29.442,1,-3.32896
29.5283,1,-3.29528
29.6128,1,-3.26153
29.6955,1,-3.22774
29.7765,1,-3.19389
29.8557,1,-3.15999
29.9332,1,-3.12604
30.0089,1,-3.09204
30.0828,1,-3.058
30.155,1,-3.02392
30.2255,1,-2.9898
30.2941,1,-2.95563
30.361,1,-2.92143
30.4262,1,-2.88719
30.4896,1,-2.85292
30.5512,1,-2.81862
30.6111,1,-2.78429
30.6692,1,-2.74993
30.7256,1,-2.71554
30.7802,1,-2.68113
30.833,1,-2.64669
30.8841,1,-2.61224
30.9334,1,-2.57776
30.981,1,-2.54327
31.0268,1,-2.50876
31.0708,1,-2.47424
31.1132,1,-2.4397
31.1537,1,-2.40516
31.1925,1,-2.37061
31.2296,1,-2.33605
31.2649,1,-2.30148
31.2984,1,-2.26691
31.3303,1,-2.23235
31.3603,1,-2.19778
31.3887,1,-2.16321
31.4153,1,-2.12865
31.4401,1,-2.09409
31.4633,1,-2.05954
31.4847,1,-2.025
31.5043,1,-1.99047
31.5223,1,-1.95596
31.5385,1,-1.92146
31.553,1,-1.88697
31.5658,1,-1.85251
31.5768,1,-1.81806
31.5862,1,-1.78363
31.5938,1,-1.74923
31.5997,1,-1.71485
31.6039,1,-1.6805
31.6064,1,-1.64618
31.6072,1,-1.61189
31.6064,1,-1.57763
31.6038,1,-1.5434
31.5995,1,-1.50921
31.5936,1,-1.47506
31.5859,1,-1.44094
31.5766,1,-1.40687
31.5656,1,-1.37283
31.553,1,-1.33884
31.5386,1,-1.3049
31.5227,1,-1.271
31.505,1,-1.23715
31.4857,1,-1.20335
31.4647,1,-1.16961
31.4421,1,-1.13591
31.4179,1,-1.10228
31.392,1,-1.06869
31.3645,1,-1.03517
31.3354,1,-1.00171
31.3046,1,-0.968305
31.2722,1,-0.934967
31.2382,1,-0.901693
31.2026,1,-0.868485
31.1654,1,-0.835346
31.1266,1,-0.802276
31.0862,1,-0.769277
31.0442,1,-0.73635
31.0006,1,-0.703498
30.9555,1,-0.670721
30.9087,1,-0.638022
30.8605,1,-0.605401
30.8106,1,-0.572861
30.7592,1,-0.540402
30.7062,1,-0.508027
30.6517,1,-0.475737
30.5957,1,-0.443533
30.5381,1,-0.411416
30.479,1,-0.379389
30.4184,1,-0.347453
30.3562,1,-0.315608
30.2926,1,-0.283858
30.2274,1,-0.252202
30.1608,1,-0.220643
30.0926,1,-0.189182
30.023,1,-0.157821
29.9519,1,-0.12656
29.8794,1,-0.095401
29.8053,1,-0.0643459
29.7298,1,-0.0333959
29.6529,1,-0.00255215
29.5745,1,0.0281838
29.4947,1,0.0588107
29.4135,1,0.089327
29.3308,1,0.119732
29.2467,1,0.150023
29.1612,1,0.1802
29.0743,1,0.210261
28.986,1,0.240205
28.8964,1,0.27003
28.8053,1,0.299736
28.7129,1,0.329321
28.6191,1,0.358783
28.524,1,0.388122
28.4275,1,0.417336
28.3297,1,0.446424
28.2305,1,0.475385
28.13,1,0.504217
28.0282,1,0.532919
27.9251,1,0.56149
27.8206,1,0.589929
27.7149,1,0.618235
27.6079,1,0.646406
27.4996,1,0.674441
27.3901,1,0.702339
27.2793,1,0.730099
27.1672,1,0.75772
27.0539,1,0.785201
26.9394,1,0.812539
26.8236,1,0.839736
26.7066,1,0.866788
26.5884,1,0.893695
26.469,1,0.920457
26.3484,1,0.947071
26.2266,1,0.973538
26.1036,1,0.999855
25.9794,1,1.02602
25.8541,1,1.05204
25.7277,1,1.0779
25.6001,1,1.10361
25.4714,1,1.12917
25.3415,1,1.15457
25.2106,1,1.17981
25.0785,1,1.2049
24.9453,1,1.22982
24.811,1,1.25459
24.6757,1,1.2792
24.5393,1,1.30365
24.4018,1,1.32793
24.2633,1,1.35205
24.1237,1,1.37601
23.9831,1,1.39981
23.8415,1,1.42343
23.6989,1,1.44689
23.5552,1,1.47019
23.4106,1,1.49331
23.2649,1,1.51627
23.1183,1,1.53905
22.9708,1,1.56167
22.8222,1,1.58411
22.6728,1,1.60638
22.5223,1,1.62848
22.371,1,1.6504
22.2187,1,1.67215
22.0655,1,1.69372
21.9115,1,1.71512
21.7565,1,1.73634
21.6006,1,1.75738
21.4439,1,1.77824
21.2863,1,1.79892
21.1279,1,1.81942
20.9686,1,1.83975
20.8085,1,1.85989
20.6476,1,1.87985
20.4859,1,1.89962
20.3234,1,1.91921
20.16,1,1.93862
19.9959,1,1.95785
19.831,1,1.97688
19.6654,1,1.99574
19.499,1,2.0144
19.3319,1,2.03288
19.164,1,2.05117
18.9954,1,2.06928
18.8261,1,2.08719
18.6561,1,2.10492
18.4855,1,2.12245
18.3141,1,2.1398
18.1421,1,2.15695
17.9694,1,2.17391
17.796,1,2.19069
17.622,1,2.20726
17.4474,1,2.22365
17.2722,1,2.23984
17.0964,1,2.25584
16.9199,1,2.27165
16.7429,1,2.28726
16.5653,1,2.30267
16.3872,1,2.31789
16.2085,1,2.33292
16.0292,1,2.34775
15.8494,1,2.36238
15.6691,1,2.37682
15.4882,1,2.39105
15.3069,1,2.4051
15.125,1,2.41894
14.9427,1,2.43258
14.7599,1,2.44603
14.5767,1,2.45928
14.393,1,2.47233
14.2088,1,2.48518
14.0242,1,2.49783
13.8392,1,2.51028
13.6538,1,2.52253
13.468,1,2.53458
13.2818,1,2.54643
13.0952,1,2.55808
12.9083,1,2.56953
12.721,1,2.58078
12.5333,1,2.59182
12.3453,1,2.60267
12.157,1,2.61331
11.9684,1,2.62376
11.7795,1,2.634
11.5902,1,2.64404
11.4007,1,2.65387
11.2109,1,2.66351
11.0208,1,2.67294
10.8305,1,2.68217
10.64,1,2.6912
10.4492,1,2.70003
10.2582,1,2.70865
10.067,1,2.71707
9.87552,1,2.72529
9.68391,1,2.73331
9.49211,1,2.74112
9.30014,1,2.74874
9.10801,1,2.75615
8.91573,1,2.76335
8.7233,1,2.77036
8.53075,1,2.77716
8.33808,1,2.78376
8.1453,1,2.79016
7.95243,1,2.79636
7.75946,1,2.80236
7.56641,1,2.80815
7.3733,1,2.81374
7.18012,1,2.81913
6.9869,1,2.82432
6.79364,1,2.82931
6.60036,1,2.83409
6.40705,1,2.83868
6.21374,1,2.84306
6.02043,1,2.84725
5.82714,1,2.85123
5.63386,1,2.85502
5.44062,1,2.8586
5.24742,1,2.86199
5.05427,1,2.86517
4.86119,1,2.86816
4.66818,1,2.87094
4.47525,1,2.87353
4.28241,1,2.87592
4.08967,1,2.87811
3.89705,1,2.88011
3.70455,1,2.8819
3.51218,1,2.8835
3.31995,1,2.88491
3.12787,1,2.88611
2.93595,1,2.88712
2.7442,1,2.88794
2.55263,1,2.88855
2.36125,1,2.88898
2.17007,1,2.88921
1.9791,1,2.88924
1.78835,1,2.88908
1.59782,1,2.88873
1.40754,1,2.88818
1.21749,1,2.88744
1.02771,1,2.88651
0.838186,1,2.88539
0.64894,1,2.88408
0.459977,1,2.88257
0.271308,1,2.88088
0.0829409,1,2.87899
-0.105114,1,2.87692
-0.292849,1,2.87465
-0.480253,1,2.8722
-0.667319,1,2.86956
-0.854036,1,2.86674
-1.0404,1,2.86372
-1.22639,1,2.86052
-1.41201,1,2.85714
-1.59724,1,2.85357
-1.78209,1,2.84981
-1.96653,1,2.84587
-2.15056,1,2.84175
-2.33417,1,2.83745
-2.51735,1,2.83296
-2.7001,1,2.82829
-2.8824,1,2.82344
-3.06424,1,2.81841
-3.24563,1,2.8132
-3.42654,1,2.80781
-3.60697,1,2.80225
-3.78692,1,2.7965
-3.96637,1,2.79058
-4.14531,1,2.78448
-4.32374,1,2.77821
-4.50165,1,2.77176
-4.67903,1,2.76514
-4.85587,1,2.75834
-5.03217,1,2.75137
-5.20791,1,2.74423
-5.38309,1,2.73692
-5.5577,1,2.72944
-5.73173,1,2.72178
-5.90517,1,2.71396
-6.07802,1,2.70597
-6.25027,1,2.69781
-6.42191,1,2.68949
-6.59294,1,2.681
-6.76333,1,2.67234
-6.9331,1,2.66352
-7.10222,1,2.65454
-7.2707,1,2.64539
-7.43852,1,2.63608
-7.60568,1,2.62661
-7.77217,1,2.61698
-7.93798,1,2.60719
-8.10311,1,2.59725
-8.26754,1,2.58714
-8.43128,1,2.57688
-8.59431,1,2.56646
-8.75662,1,2.55588
-8.91822,1,2.54515
-9.07908,1,2.53427
-9.23922,1,2.52324
-9.39861,1,2.51205
-9.55725,1,2.50071
