"time","{FMU2}.FMU2Instance.fk","{FMU}.FMUInstance.x1","{FMU}.FMUInstance.v1"
0.21,8.12515e+094,1,-3.58612e+091
0.211,2.96338e+095,1,4.54262e+091
0.212,2.3484e+094,1,3.41718e+092
0.213,-2.02685e+096,1,3.64861e+092
0.214,-4.21399e+096,1,-1.66235e+093
0.215,5.76435e+096,1,-5.87468e+093
0.216,4.10067e+097,1,-1.04452e+092
0.217,4.15924e+097,1,4.09023e+094
0.218,-2.03863e+098,1,8.24538e+094
0.219,-6.98382e+098,1,-1.21492e+095
0.22,3.12675e+097,1,-8.19753e+095
0.221,4.94975e+099,1,-7.87665e+095
0.222,9.6708e+099,1,4.16288e+096
0.223,-1.53161e+100,1,1.38295e+097
0.224,-9.82779e+100,1,-1.50045e+096
0.225,-8.91769e+100,1,-9.97768e+097
0.226,5.09573e+101,1,-1.88854e+098
0.227,1.64219e+102,1,3.20908e+098
0.228,-2.84904e+101,1,1.96278e+099
0.229,-1.20613e+103,1,1.67591e+099
0.23,-2.21047e+103,1,-1.0387e+100
0.231,4.02397e+103,1,-3.24813e+100
0.232,2.35087e+104,1,7.79086e+099
0.233,1.88107e+104,1,2.4287e+101
0.234,-1.2693e+105,1,4.30735e+101
0.235,-3.85244e+105,1,-8.39e+101
0.236,1.18541e+105,1,-4.6906e+102
0.237,2.93278e+106,1,-3.5005e+102
0.238,5.03015e+106,1,2.58309e+103
0.239,-1.04734e+107,1,7.61066e+103
0.24,-5.61269e+107,1,-2.87034e+103
0.241,-3.88487e+107,1,-5.89943e+104
0.242,3.15156e+108,1,-9.7784e+104
0.243,9.01545e+108,1,2.1747e+105
0.244,-4.04176e+108,1,1.1188e+106
0.245,-7.11656e+109,1,7.13503e+105
0.246,-1.13905e+110,1,-6.40377e+106
0.247,2.70436e+110,1,-1.77878e+107
0.248,1.33743e+111,1,9.27353e+106
0.249,7.79686e+110,1,1.43008e+108
0.25,-7.80156e+111,1,2.20833e+108
